"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618330,20001120,91,"FARANAH/BADALA",-10.75,10.03,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618330,20001120,91,"FARANAH/BADALA",-10.75,10.03,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618330,20001120,91,"FARANAH/BADALA",-10.75,10.03,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618330,20001120,91,"FARANAH/BADALA",-10.75,10.03,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618330,20001120,91,"FARANAH/BADALA",-10.75,10.03,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618330,20001120,91,"FARANAH/BADALA",-10.75,10.03,"M"
1998,"Riots","Police Forces of Guinea (1984-2008)","Rioters (Guinea)","Guinea","Faranah","Banian",9.6,-10.53,618330,19981128,91.19,"FARANAH/BADALA",-10.75,10.03,"M"
1998,"Violence against civilians","Rioters (Guinea)","Civilians (Guinea)","Guinea","Faranah","Banian",9.6,-10.53,618330,19981128,91.19,"FARANAH/BADALA",-10.75,10.03,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,655920,20030324,91.19,"TABOU",-7.36,4.41,"H"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,655920,20030324,91.19,"TABOU",-7.36,4.41,"H"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Bong","Gbarnga",7,-9.47,655920,20030324,91.19,"TABOU",-7.36,4.41,"H"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,655920,20030324,91.19,"TABOU",-7.36,4.41,"H"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Guekedou","Kokouelassou",8.52,-9.93,618490,20010120,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Konembado","Konembado",8.52,-9.93,618490,20010120,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20010120,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbatala",6.88,-9.67,618490,20010120,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Lofa County",7.91,-10,618490,20010120,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Liberia (1997-2003)","Military Forces of Guinea (1984-2008)","Liberia","Near border with Guinea","Boiwamei",7.91,-10,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Nzerekore","Macenta",8.55,-9.47,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Macenta",8.55,-9.47,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Tanaguizesou",8.56,-9.78,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Liberia (1997-2003)","Military Forces of Guinea (1984-2008)","Liberia","Near border with Guinea","Masizu",7.91,-10,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Liberia (1997-2003)","Military Forces of Guinea (1984-2008)","Liberia","Near border with Guinea","Turaszued",7.91,-10,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","Civilians (Liberia)","Military Forces of Guinea (1984-2008)","Liberia","Lofa County","Boiwamei",7.91,-10,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","Civilians (Liberia)","Military Forces of Guinea (1984-2008)","Liberia","Lofa County","Turaszued",7.91,-10,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","Civilians (Liberia)","Military Forces of Guinea (1984-2008)","Liberia","Lofa County","Masizu",7.91,-10,618490,20010131,91.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Foya",8.27,-10.31,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Malema",8.28,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Konosu",8.25,-10.28,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Mako",8.28,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Tindoni",8.28,-10.28,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Refugees)","Unidentified Armed Group (Guinea)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010209,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Foya",8.27,-10.31,618330,20010507,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Vahun",8.06,-10.5,618330,20010507,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Vahun",8.06,-10.5,618330,20010507,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Sierra Leone)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010507,91.4,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Gambia)","APRC: Alliance for Patriotic Re-orientation and Construction (Gambia)","Gambia","Western","Brikama",13.26,-16.64,617010,20011022,91.4,"BANJUL/YUNDUM",-16.63,13.19,"M"
2001,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Kankan","Kankan",10.38,-9.3,655280,20011030,91.4,"ODIENNE",-7.56,9.5,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Bong","Gbarnga",7,-9.47,655920,20030301,91.4,"TABOU",-7.36,4.41,"H"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,655920,20030315,91.4,"TABOU",-7.36,4.41,"H"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,655920,20030315,91.4,"TABOU",-7.36,4.41,"H"
2003,"Battles","Military Forces of Guinea (1984-2008)","LURD: Liberian United for Reconciliation and Democracy","Guinea","Nzerekore","Laine",8.07,-8.47,655600,20030512,91.4,"DALOA",-6.46,6.86,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Arthington",6.51,-10.68,618340,20030517,91.4,"KISSIDOUGOU",-10.13,9.41,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Arthington",6.51,-10.68,618340,20030517,91.4,"KISSIDOUGOU",-10.13,9.41,"M"
2003,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Ganta",7.23,-8.98,618340,20030517,91.4,"KISSIDOUGOU",-10.13,9.41,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,618340,20030517,91.4,"KISSIDOUGOU",-10.13,9.41,"M"
2004,"Violence against civilians","Civilians (Foreign)","Unidentified Armed Group (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20041214,91.4,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2005,"Violence against civilians","Civilians (Ghana)","Police Forces of Gambia (1994-)","Gambia","Western","Ghana Town",13.38,-16.77,617010,20050723,91.4,"BANJUL/YUNDUM",-16.63,13.19,"M"
2006,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","New Kru Town",6.36,-10.77,656600,20061129,91.4,"ROBERTS FIELD",-10.35,6.25,"H"
2006,"Violence against civilians","Police Forces of Liberia (2005-)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20061205,91.4,"ROBERTS FIELD",-10.35,6.25,"H"
2007,"Riots","Military Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20070122,91.4,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2007,"Riots","","Protesters (Guinea)","Guinea","Kindia","Telimele",10.89,-13.03,618320,20070122,91.4,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2007,"Violence against civilians","Presidential Guard (1984-2008)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20070122,91.4,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2007,"Riots","Military Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Nzerekore","Banankoro",8.6,-8.73,618490,20070202,91.4,"NZEREKORE",-8.3,7.75,"H"
2007,"Riots","Military Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Nzerekore","Lola",7.8,-8.53,618490,20070202,91.4,"NZEREKORE",-8.3,7.75,"H"
2007,"Riots","","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20070510,91.4,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2009,"Battles","Police Forces of Liberia (2006-)","Rioters (Liberia)","Liberia","Bong","Gbarnga",7,-9.47,656600,20090227,91.4,"ROBERTS FIELD",-10.35,6.25,"H"
2009,"Riots","","Rioters (Liberia)","Liberia","Bong","Gbarnga",7,-9.47,656600,20090227,91.4,"ROBERTS FIELD",-10.35,6.25,"H"
2009,"Battles","Unidentified Armed Group (Senegal)","Military Forces of Senegal (2000-)","Gambia","Western","Sere Kunda",13.43,-16.67,617010,20091028,91.4,"BANJUL/YUNDUM",-16.63,13.19,"M"
2010,"Battles","Mandingo Tribesmen","Lorma Tribesmen","Liberia","Lofa County","Voinjama",8.42,-9.76,656600,20100226,91.4,"ROBERTS FIELD",-10.35,6.25,"H"
2010,"Violence against civilians","Mandingo Tribesmen","Civilians (Liberia)","Liberia","Lofa County","Voinjama",8.42,-9.76,656600,20100226,91.4,"ROBERTS FIELD",-10.35,6.25,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Sawmill",7.55,-8.56,618490,20020126,91.59,"NZEREKORE",-8.3,7.75,"H"
2003,"Battles","Military Forces of Liberia (1997-2003)","MODEL: Movement for Democracy in Liberia","Liberia","Grand Gedeh","Zwedru",6.02,-8.14,655920,20030303,91.59,"TABOU",-7.36,4.41,"H"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010124,91.8,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Tekoulo","Tekoulo",8.46,-10.43,618330,20010124,91.8,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Sierra Leone)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010124,91.8,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Military Forces of Guinea (1984-2008)","Civilians (Sierra Leone)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010124,91.8,"FARANAH/BADALA",-10.75,10.03,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Swe Creek",6.32,-8.68,655480,20020522,91.8,"MAN",-7.51,7.38,"M"
2000,"Violence against civilians","Military Forces of Gambia (1994-)","Civilians (Gambia)","Gambia","Banjul","Banjul",13.45,-16.57,617010,20001108,91.9,"BANJUL/YUNDUM",-16.63,13.19,"M"
2006,"Riots","Protesters","UNMIL: United Nations Mission in Liberia","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20060425,91.9,"ROBERTS FIELD",-10.35,6.25,"H"
2001,"Violence against civilians","Civilians (Gambia)","Unidentified Armed Group (Gambia)","Gambia","","Dongoro Ba",13.38,-15.28,616980,20010831,92.09,"KOLDA",-14.96,12.88,"M"
2001,"Violence against civilians","Civilians (Gambia)","APRC: Alliance for Patriotic Re-orientation and Construction (Gambia)","Gambia","Western","Brikama",13.26,-16.64,617010,20011023,92.09,"BANJUL/YUNDUM",-16.63,13.19,"M"
1998,"Battles","Military Forces of Guinea (1984-2008)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Nzerekore","Bilimba",8.93,-10.56,618330,19981122,92.3,"FARANAH/BADALA",-10.75,10.03,"M"
1998,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Bilimba",8.93,-10.56,618330,19981122,92.3,"FARANAH/BADALA",-10.75,10.03,"M"
1998,"Violence against civilians","Civilians (Guinea)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Nzerekore","Bilimba",8.93,-10.56,618330,19981122,92.3,"FARANAH/BADALA",-10.75,10.03,"M"
1998,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Kankan","Siguirini",11.81,-10.05,618110,19981219,92.3,"SIGUIRI",-9.16,11.43,"M"
1998,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,19981221,92.3,"CONAKRY/GBESSIA",-13.61,9.56,"H"
1999,"Battles","ECOMOG: Economic Community of West African States Monitoring Group (Sierra Leone)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Kindia","Pamalap",9.18,-12.97,618320,19990404,92.3,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2002,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Bomi County","Klay",6.69,-10.86,618490,20020208,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Riots","Protesters","","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20020212,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Grand Cape Mount","Todi",7.06,-10.89,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Margibi","Kakata",6.53,-10.35,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Suehn",6.61,-10.71,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2002,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Bomi County","Suehn",6.61,-10.71,618490,20020401,92.3,"NZEREKORE",-8.3,7.75,"H"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,655600,20030416,92.3,"DALOA",-6.46,6.86,"M"
2004,"Riots","MODEL: Movement for Democracy in Liberia","","Liberia","Grand Bassa","Buchanan",5.88,-10.04,618490,20040320,92.3,"NZEREKORE",-8.3,7.75,"H"
2004,"Riots","Police Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Kindia","Fria",10.44,-13.53,618180,20041229,92.3,"KINDIA",-12.86,10.05,"M"
2005,"Riots","Protesters","Police Forces of Liberia (2005-)","Liberia","Maryland","Harper",4.37,-7.71,655920,20050122,92.3,"TABOU",-7.36,4.41,"H"
2005,"Riots","Protesters","UNMIL: United Nations Mission in Liberia","Liberia","Bong","Gbarnga",7,-9.47,656600,20050126,92.3,"ROBERTS FIELD",-10.35,6.25,"H"
2009,"Violence against civilians","Civilians (Foreign)","Military Forces of Guinea (2008-)","Guinea","Labe","Kalouma",11.69,-11.94,616990,20091122,92.5,"KEDOUGOU",-12.21,12.56,"M"
2000,"Riots","Rioters (Gambia)","Police Forces of Gambia (1994-)","Gambia","Banjul","Banjul",13.45,-16.57,617010,20000410,92.69,"BANJUL/YUNDUM",-16.63,13.19,"M"
2000,"Riots","Rioters (Gambia)","Police Forces of Gambia (1994-)","Gambia","Western","Sere Kunda",13.43,-16.67,617010,20000410,92.69,"BANJUL/YUNDUM",-16.63,13.19,"M"
2000,"Violence against civilians","Civilians (Gambia)","Police Forces of Gambia (1994-)","Gambia","Western","Brikama",13.26,-16.64,617010,20000410,92.69,"BANJUL/YUNDUM",-16.63,13.19,"M"
2006,"Violence against civilians","UNMIL: United Nations Mission in Liberia","Civilians (Liberia)","Liberia","Bong","Monrovia",6.67,-9.67,656600,20060512,92.69,"ROBERTS FIELD",-10.35,6.25,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Gbapolu","Belle Balorma",7.57,-9.97,618490,20020203,92.8,"NZEREKORE",-8.3,7.75,"H"
2003,"Battles","Military Forces of Liberia (1997-2003)","MODEL: Movement for Democracy in Liberia","Liberia","Sinoe","Greenville",5.01,-9.03,655920,20030402,92.8,"TABOU",-7.36,4.41,"H"
2001,"Battles","Foroolu Ethnic Militia (Gambia)","Jongolu Ethnic Militia (Gambia)","Gambia","North Bank","Kerewan",13.48,-16.09,617010,20011208,93.19,"BANJUL/YUNDUM",-16.63,13.19,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Toe Town",6.4,-8.55,655600,20030301,93.19,"DALOA",-6.46,6.86,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Toe Town",6.4,-8.55,655600,20030301,93.19,"DALOA",-6.46,6.86,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Grand Gedeh","Toe Town",6.4,-8.55,655600,20030301,93.19,"DALOA",-6.46,6.86,"M"
2003,"Battles","Military Forces of Ivory Coast (2000-)","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Toe Town",6.4,-8.55,655600,20030301,93.19,"DALOA",-6.46,6.86,"M"
2003,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20030309,93.19,"CONAKRY/GBESSIA",-13.61,9.56,"H"
2003,"Violence against civilians","Unidentified Armed Group (Gambia)","Civilians (Gambia)","Gambia","Banjul","Kanifing",13.44,-16.66,617010,20031017,93.19,"BANJUL/YUNDUM",-16.63,13.19,"M"
2010,"Battles","Guerze Ethnic Militia (Guinea)","Malinke Ethnic Militia (Guinea)","Guinea","Nzerekore","Nzerekore",7.75,-8.81,656600,20100205,93.19,"ROBERTS FIELD",-10.35,6.25,"H"
2010,"Battles","Unidentified Armed Group (Liberia)","Police Forces of Liberia (2005-)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20100301,93.19,"ROBERTS FIELD",-10.35,6.25,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Bong Mine",6.8,-10.35,618490,20020219,93.4,"NZEREKORE",-8.3,7.75,"H"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618490,20020219,93.4,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1989-2003)","Liberia","Lofa County","Boiboimai",8.31,-9.86,618490,20010208,93.59,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1989-2003)","Liberia","Lofa County","Boiboimai",8.31,-9.86,618490,20010208,93.59,"NZEREKORE",-8.3,7.75,"H"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Kolahun",8.28,-10.08,618490,20010208,93.59,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Lofa County","Boiboimai",8.31,-9.86,618490,20010208,93.59,"NZEREKORE",-8.3,7.75,"H"
2001,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Lofa County","Boiboimai",8.31,-9.86,618490,20010208,93.59,"NZEREKORE",-8.3,7.75,"H"
2005,"Battles","Unidentified Armed Group (Liberia)","UNMIL: United Nations Mission in Liberia","Liberia","Nimba","Ganta",7.23,-8.98,656600,20050322,93.69,"ROBERTS FIELD",-10.35,6.25,"H"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618290,20001207,93.9,"KANKAN",-9.3,10.38,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618290,20001207,93.9,"KANKAN",-9.3,10.38,"M"
2000,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Kissidougou","Yende",8.58,-10.31,618290,20001207,93.9,"KANKAN",-9.3,10.38,"M"
2000,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Kissidougou","Yende",8.58,-10.31,618290,20001207,93.9,"KANKAN",-9.3,10.38,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Kissidougou",9.18,-10.1,618290,20001207,93.9,"KANKAN",-9.3,10.38,"M"
